date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2019-12-01,2019,0,0,DEN,LAC,1449.16419458668,1585.75191800581,0.3984105901855223,,,
2019-12-01,2019,0,0,PIT,CLE,1572.19321967273,1455.88640137805,0.7395605848176868,,,
2019-12-01,2019,0,0,HOU,NE,1515.38853097227,1640.85648810958,0.41384771938273507,,,
2019-12-02,2019,0,0,SEA,MIN,1565.41164859357,1538.42395425995,0.6293720237007031,,,
2019-12-05,2019,0,0,CHI,DAL,1588.89793144843,1546.63760540507,0.6496361086992106,,,
2019-12-08,2019,0,0,HOU,DEN,1515.38853097227,1449.16419458668,0.6803515826802915,,,
2019-12-08,2019,0,0,GB,WSH,1455.13136993533,1441.02179176339,0.6119203057363969,,,
2019-12-08,2019,0,0,TB,IND,1444.77266859125,1561.07456529967,0.42670256692623815,,,
2019-12-08,2019,0,0,NO,SF,1610.93660317005,1422.63182461207,0.8112479539316556,,,
2019-12-08,2019,0,0,NYJ,MIA,1384.96644235941,1415.17876187059,0.5498968623308534,,,
2019-12-08,2019,0,0,MIN,DET,1538.42395425995,1490.51940926969,0.6569948696962226,,,
2019-12-08,2019,0,0,BUF,BAL,1448.42368150679,1570.53924891259,0.41853661284675286,,,
2019-12-08,2019,0,0,ATL,CAR,1520.31582461035,1519.37877240763,0.5937679850417776,,,
2019-12-08,2019,0,0,CLE,CIN,1455.88640137805,1428.5335151433,0.6298622585825545,,,
2019-12-08,2019,0,0,JAX,LAC,1455.24907275187,1585.75191800581,0.40683505335251696,,,
2019-12-08,2019,0,0,OAK,TEN,1405.44061778861,1518.90720352913,0.4306999140119017,,,
2019-12-08,2019,0,0,ARI,PIT,1383.74042223536,1572.19321967273,0.3294549144707615,,,
2019-12-08,2019,0,0,NE,KC,1640.85648810958,1602.07742712331,0.6450613101769305,,,
2019-12-08,2019,0,0,LAR,SEA,1598.01566621671,1565.41164859357,0.6368813860456121,,,
2019-12-09,2019,0,0,PHI,NYG,1581.51355925233,1442.7255357616,0.7637045665411609,,,
2019-12-12,2019,0,0,BAL,NYJ,1570.53924891259,1384.96644235941,0.808828043724989,,,
2019-12-15,2019,0,0,TEN,HOU,1518.90720352913,1515.38853097227,0.597347517086321,,,
2019-12-15,2019,0,0,CAR,SEA,1519.37877240763,1565.41164859357,0.5272688013396226,,,
2019-12-15,2019,0,0,PIT,BUF,1572.19321967273,1448.42368150679,0.7477493913615141,,,
2019-12-15,2019,0,0,DET,TB,1490.51940926969,1444.77266859125,0.6541902596159379,,,
2019-12-15,2019,0,0,WSH,PHI,1441.02179176339,1581.51355925233,0.393036649915518,,,
2019-12-15,2019,0,0,NYG,MIA,1442.7255357616,1415.17876187059,0.6301224253540815,,,
2019-12-15,2019,0,0,CIN,NE,1428.5335151433,1640.85648810958,0.2998401422912948,,,
2019-12-15,2019,0,0,KC,DEN,1602.07742712331,1449.16419458668,0.7780622163836632,,,
2019-12-15,2019,0,0,GB,CHI,1455.13136993533,1588.89793144843,0.40230931243333096,,,
2019-12-15,2019,0,0,OAK,JAX,1405.44061778861,1455.24907275187,0.5218484687751426,,,
2019-12-15,2019,0,0,ARI,CLE,1383.74042223536,1455.88640137805,0.48971755924301347,,,
2019-12-15,2019,0,0,DAL,LAR,1546.63760540507,1598.01566621671,0.5195935076612657,,,
2019-12-15,2019,0,0,SF,ATL,1422.63182461207,1520.31582461035,0.45310220313000377,,,
